gene,cluster identity
Epha4,red
Nrp1,red
Psmc2,red
Vldlr,red
Sema4d,red
Plk2,red
Top2b,red
Prkar2b,red
Plcb1,red
Slc1a1,red
Wasf1,red
Dock4,red
Usp9x,red
Nfib,red
Gnb5,red
Cadm2,red
Macf1,red
Mef2c,red
Slc38a2,red
Adamts1,red
Ube3a,red
Atl1,red
Kpna1,red
Slitrk5,red
Flrt3,red
Ahi1,red
Strn,red
Nfia,red
Ogt,red
Trappc11,red
Dst,red
Mapk8ip2,red
Fbxo45,red
Dscam,red
Kdm1a,red
Kcna4,red
Als2,red
Sv2b,red
Slitrk4,red
Bdnf,red
Add3,red
Dync1i2,red
Gabra4,red
Rab39b,red
Gabra1,red
Atad1,red
Ireb2,red
Sema6a,red
Pygb,red
Slitrk1,red
Slc2a3,red
Map2k4,red
Rdx,red
Dnm3,red
Gigyf2,red
Ppp2r2a,red
Lgi1,red
Nlgn3,red
Prkaa2,red
Dscaml1,red
Abhd6,red
Zeb2,red
Lrrn3,red
Mapk8,red
Skil,red
Lrrtm2,red
Cap2,red
Sema5a,red
Cpeb4,red
Gnaq,red
Ncam1,red
Usp33,red
Pak3,red
Gabrb3,red
Camsap2,red
Adam22,red
Prkca,red
Atxn2,red
Negr1,red
Slc1a4,red
Brd1,red
Pcsk2,red
Gabra5,red
Cx3cl1,red
Braf,red
Mef2a,red
Lrfn5,red
Serpini1,red
Dnaja3,red
Lrp8,red
Synpr,red
Tnik,red
Zdhhc5,red
Ncam2,red
Rnf19a,red
Ptk2b,red
Ephb2,red
Slitrk3,red
Gpc4,red
Setx,red
Slc1a2,red
Ptpro,red
Glra2,red
Actn1,red
Ptpra,red
Adam10,red
Adgrb3,red
Cntn1,red
Fxr2,red
L1cam,red
A830010M20Rik,red
Ep300,red
Nell1,red
Kif3b,red
Akap6,red
Csnk1d,red
Fkbp4,red
Sema7a,red
Cntn2,red
Kcnd3,red
Ptk2,red
Ngef,red
Slc8a1,red
Dab1,red
Prox1,red
App,red
Sh3gl2,red
Rab10,red
Auts2,red
Strn3,red
Prrt2,red
Kcnh7,orange
Nav1,orange
Mctp1,orange
Abl2,orange
Rere,orange
Ust,orange
Cacna1b,orange
Rab3ip,orange
Dync1h1,orange
Rnf112,orange
Arhgap32,orange
Ap3b2,orange
Sptbn4,orange
Jun,orange
Map2k1,orange
Ppp3ca,orange
Camk4,orange
Ppp5c,orange
Dctn2,orange
Bace1,orange
Cpne6,orange
Anapc2,orange
Brinp2,orange
Atp2b2,orange
Stx12,orange
Itm2c,orange
Ncoa1,orange
Tbr1,orange
Adgrl3,orange
Tenm4,orange
Pak1,orange
Dbndd2,orange
Cygb,orange
Sh3glb1,orange
Rtn4rl1,orange
Mark3,orange
Rap1gap,orange
Kcnc1,orange
Nck2,orange
Got1,orange
Eif4b,orange
Mib1,orange
Ss18l1,orange
Tmem108,orange
Slc38a1,orange
Cttn,orange
Kidins220,orange
Camk1g,orange
Rab35,orange
Rangap1,orange
Ndel1,orange
Kcnq3,orange
Tiam1,orange
Smad4,orange
Magi2,orange
Tnfrsf21,orange
Chrna7,orange
Myo16,orange
Fyn,orange
Ppm1a,orange
Homer1,orange
Cdkl5,orange
Inpp5j,orange
Ppp2r5d,orange
Ccng1,orange
Rrn3,orange
Madd,orange
Cadm3,orange
Cdk5r1,orange
Nr3c2,orange
Grid1,orange
Lin7a,orange
Prkaca,orange
Gnaz,orange
Elavl1,orange
Lamp1,orange
Pcdh8,orange
Syngr1,orange
Slc6a17,orange
Atcay,orange
Rusc1,orange
Syn2,orange
Nedd4l,orange
Osbp2,orange
Eif4g1,orange
Gabbr2,orange
Wdfy3,orange
Cnnm1,orange
Dpysl4,orange
Scn8a,orange
Frmpd4,orange
Cacnb1,orange
Lrrn2,orange
Myo5b,orange
Mink1,orange
Efnb2,orange
Wasl,orange
Glrb,orange
Pls3,orange
Adam23,orange
Alcam,orange
Brinp1,orange
Prkar2a,orange
Syt4,orange
Ap3m2,orange
Cnr1,orange
Zfp804a,orange
Actn4,orange
Lrrtm1,orange
Stk25,orange
Impact,orange
Cdh2,orange
Syt1,orange
Acsl6,orange
Kcnd2,orange
Bhlhb9,orange
Scamp1,orange
Crtac1,orange
Acot7,orange
Sez6,orange
Camk2g,orange
Gabra2,orange
Neo1,orange
Reln,orange
Cdh13,orange
Gad2,orange
Ube2v2,orange
Nptx1,orange
Rab5c,orange
Bptf,orange
Syt11,orange
Slit3,orange
Slc6a6,orange
Afg3l2,orange
Eno1b,orange
Nipsnap1,orange
Apba2,orange
Camsap1,orange
Gad1,orange
Tubb4a,orange
Lrrc4,orange
Rtn4,orange
Impa1,orange
Dner,orange
Kctd12,orange
Gabarapl1,orange
Plxna1,orange
Rap2a,orange
Ykt6,orange
Magee1,orange
Amfr,orange
Pi4k2a,orange
Slc6a1,orange
Arfgap1,orange
Svop,orange
Shisa7,orange
Khsrp,orange
Gnpat,orange
Mtpn,orange
Map3k12,orange
Rab5b,orange
Napa,orange
Eno2,orange
Lingo1,orange
Kcnj4,orange
Prkcg,orange
Slc9a6,orange
Ppm1h,orange
Golga2,orange
Sort1,orange
Eif4e,orange
Sez6l2,orange
Neto1,blue
Dgkb,blue
Camk2b,blue
Dctn1,blue
Cyfip2,blue
Pdpk1,blue
Ctbp2,blue
Slc12a6,blue
Erc1,blue
Cask,blue
Gnai2,blue
Adgra1,blue
Syt17,blue
Hcfc1,blue
Efnb3,blue
Orai2,blue
Lrfn3,blue
Slc8a2,blue
Itsn1,blue
Stx6,blue
Klc2,blue
Numbl,blue
Fxyd6,blue
Bcl11b,blue
Stk24,blue
Becn1,blue
Slc6a15,blue
Tmod2,blue
Kif1b,blue
Myo5a,blue
Gas7,blue
Ahcyl2,blue
Hap1,blue
Lrrc4b,blue
Strn4,blue
Ehd1,blue
Mpp2,blue
Pde2a,blue
Cnih3,blue
Map1lc3b,blue
Map6d1,blue
Lrfn4,blue
Sarm1,blue
Ptpn9,blue
Snx27,blue
Dennd1a,blue
Nr4a2,blue
Slc36a1,blue
Wasf3,blue
Nlgn2,blue
Taok2,blue
Mark1,blue
Kif3c,blue
Gpi1,blue
Baalc,blue
Vamp4,blue
Pex6,blue
Kif21b,blue
Opa1,blue
Aak1,blue
Rgs12,blue
Cdk5,blue
Ppp1r2,blue
Elk1,blue
Slc32a1,blue
Map2k2,blue
Evl,blue
Cplx1,blue
Rps3,blue
Prkcz,blue
Tet3,blue
Fam126a,blue
Cbl,blue
Ralbp1,blue
Megf8,blue
Trappc10,blue
Prkcsh,blue
Acap3,blue
Map1s,blue
Nyap1,blue
Egln1,blue
Slc6a8,blue
Ppt1,blue
Ttl,blue
Cacna1h,blue
Ablim3,blue
Cpt1c,blue
Dennd5a,blue
Slc17a7,blue
Cnksr2,blue
Fbxw8,blue
Trak1,blue
Kcnq2,blue
Ulk2,blue
Pkp4,blue
Kcnip2,blue
Sox11,blue
Kalrn,blue
Ago2,blue
Psd3,blue
Faim2,blue
Dynll1,blue
Prkcb,blue
Camkv,blue
Stx1a,blue
Pink1,blue
Arhgef7,blue
Ube2i,blue
Ppp2r5b,blue
Cacna1a,blue
Arhgap35,blue
Src,blue
Cit,blue
Ncdn,blue
Rap1gap2,blue
Nefl,blue
Syngap1,blue
Parp6,blue
Stau2,blue
Asic2,purple
Arrb1,purple
Kif5c,purple
Ppfia3,purple
Mcrs1,purple
Dlg2,purple
Nomo1,purple
Kcnab2,purple
Rpsa,purple
Trak2,purple
Map1a,purple
Dgkz,purple
Fbxo31,purple
Dvl1,purple
Srf,purple
Grik5,purple
Btbd3,purple
Jph4,purple
Dlg4,purple
Hpcal4,purple
Cdk16,purple
Homer2,purple
Kif5b,purple
Ncs1,purple
Hcn2,purple
Git1,purple
Camk2n1,purple
Ppp1r9b,purple
Ddn,purple
Nrsn1,purple
Epn1,purple
Palm,purple
Nsmf,purple
Kif5a,purple
Camk2a,purple
Shank1,purple
Psd,purple